package|version|id|cwe|filename|returncode|control_path|exploit|rtime|utime|stime|timestamp
simple-npm-registry|0.0.4|128|CWE-22|vulcan-dataset/CWE-22/452/src/index.js|0|false|false|41.251|15.0265|0.862634|20250317090855
larvitbase-www|0.7.5|129|CWE-22|vulcan-dataset/CWE-22/1156/src/index.js|0|false|false|46.9232|19.8682|2.51919|20250317090855
http-server-node|1.0.2|130|CWE-22|vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/file-system.js|0|true|false|29.4129|13.8581|0.931672|20250317090855
serve-here|3.1.0|131|CWE-22|vulcan-dataset/CWE-22/GHSA-4448-rc82-fcr7/src/read-file.js|0|false|false|33.6201|12.1641|0.70729|20250317090855
wangguojing123|1.3.0|132|CWE-22|vulcan-dataset/CWE-22/374/src/index.js|0|true|true|25.7398|13.0784|0.848407|20250317090855
lihuini|1.0.0|361|CWE-22|secbench-dataset/CWE-22/lihuini_1.0.0/src/index.js|0|true|true|25.7558|13.2346|0.786467|20250317090855
caihong|1.0.0|362|CWE-22|secbench-dataset/CWE-22/caihong_1.0.0/src/index.js|0|true|true|25.7817|13.387|0.867333|20250317090855
crud-file-server|0.7.0|363|CWE-22|secbench-dataset/CWE-22/crud-file-server_0.7.0/src/crud-file-server.js|24|false|false|82.0349|49.9524|3.78095|20250317090855
infraserver|0.0.1|364|CWE-22|secbench-dataset/CWE-22/infraserver_0.0.1/src/Infra.data.js|0|false|false|26.891|15.3535|1.09963|20250317090855
node-staticserver|1.0.3|365|CWE-22|secbench-dataset/CWE-22/node-staticserver_1.0.3/src/server.js|0|false|false|34.9274|14.774|0.839577|20250317090855
susu-sum|1.0.0|366|CWE-22|secbench-dataset/CWE-22/susu-sum_1.0.0/src/node.js|0|true|true|26.2417|13.6195|0.927474|20250317090855
angular-http-server|1.0.0|367|CWE-22|secbench-dataset/CWE-22/angular-http-server_1.0.0/src/angular-http-server.js|0|false|false|34.4685|12.108|0.712524|20250317090855
der-server|0.0.9|368|CWE-22|secbench-dataset/CWE-22/der-server_0.0.9/src/der-server.js|0|true|false|37.4671|14.618|0.880416|20250317090855
m-server|1.4.0|369|CWE-22|secbench-dataset/CWE-22/m-server_1.4.0/src/index.js|0|true|false|36.0328|14.4638|0.907091|20250317090855
gfm-srv|1.1.2|370|CWE-22|secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js|0|false|false|34.576|12.9323|0.701759|20250317090855
wenluhong11|1.0.0|371|CWE-22|secbench-dataset/CWE-22/wenluhong11_1.0.0/src/index.js|0|true|true|25.8397|13.3969|0.830894|20250317090855
zhangranbigman|0.0.1|372|CWE-22|secbench-dataset/CWE-22/zhangranbigman_0.0.1/src/static.js|0|true|false|37.377|13.7965|0.85576|20250317090855
yzt|1.4.0|373|CWE-22|secbench-dataset/CWE-22/yzt_1.4.0/src/node.js|0|true|true|25.7526|13.1957|0.830685|20250317090855
caolilinode|1.0.0|374|CWE-22|secbench-dataset/CWE-22/caolilinode_1.0.0/src/caolili.js|0|true|true|25.6495|13.0872|0.894358|20250317090855
wffserve|1.0.0|375|CWE-22|secbench-dataset/CWE-22/wffserve_1.0.0/src/index.js|0|true|true|25.9571|13.5432|0.830714|20250317090855
wenluhong1|1.0.0|376|CWE-22|secbench-dataset/CWE-22/wenluhong1_1.0.0/src/index.js|0|true|true|25.9967|13.4688|0.843007|20250317090855
intsol-package|1.0.0|377|CWE-22|secbench-dataset/CWE-22/intsol-package_1.0.0/src/index.js|0|false|false|34.5128|12.4477|0.750206|20250317090855
fbr-client|1.0.3|378|CWE-22|secbench-dataset/CWE-22/fbr-client_1.0.3/src/server.js|0|false|false|34.5512|13.4286|0.776603|20250317090855
ex-http-frame|1.0.2|379|CWE-22|secbench-dataset/CWE-22/ex-http-frame_1.0.2/src/res.js|0|false|false|34.1472|12.993|0.755208|20250317090855
songcaihong|1.0.0|380|CWE-22|secbench-dataset/CWE-22/songcaihong_1.0.0/src/index.js|0|true|true|25.8367|13.571|0.864378|20250317090855
fsk-server|0.2.1|381|CWE-22|secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js|0|false|false|28.5672|16.244|1.23631|20250317090855
http-file-server|0.2.6|382|CWE-22|secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js|0|false|false|41.5444|15.2314|0.919248|20250317090855
serverzyqzyq|1.1.0|383|CWE-22|secbench-dataset/CWE-22/serverzyqzyq_1.1.0/src/index.js|0|true|true|25.9221|13.3826|0.833664|20250317090855
cuciuci|1.1.0|384|CWE-22|secbench-dataset/CWE-22/cuciuci_1.1.0/src/index.js|0|true|true|25.8373|13.3161|0.800731|20250317090855
wuzhuangserver|1.8.0|385|CWE-22|secbench-dataset/CWE-22/wuzhuangserver_1.8.0/src/index.js|0|true|true|25.8931|13.4893|0.848175|20250317090855
lzl123|1.1.0|386|CWE-22|secbench-dataset/CWE-22/lzl123_1.1.0/src/index.js|0|true|true|25.885|13.3647|0.86278|20250317090855
nitro-server|1.3.3|387|CWE-22|secbench-dataset/CWE-22/nitro-server_1.3.3/src/server.js|-7|false|false|300.038|275.859|1.08582|20250317090855
serverhuwenhui|1.1.0|388|CWE-22|secbench-dataset/CWE-22/serverhuwenhui_1.1.0/src/node.js|0|true|true|15.2954|12.9893|0.839447|20250317090855
serve46|1.0.0|389|CWE-22|secbench-dataset/CWE-22/serve46_1.0.0/src/index.js|0|true|true|25.7651|13.7958|0.861998|20250317090855
servey|2.2.0|390|CWE-22|secbench-dataset/CWE-22/servey_2.2.0/src/index.js|0|false|false|57.2192|34.3987|1.00717|20250317090855
vivaxy-here|3.1.0|391|CWE-22|secbench-dataset/CWE-22/@vivaxy-here_3.1.0/src/read-file.js|0|false|false|33.9038|12.3573|0.695036|20250317090855
node-http-server|8.1.2|392|CWE-22|secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js|0|false|false|36.074|14.5588|0.759566|20250317090855
easy-node-server|1.2.1|393|CWE-22|secbench-dataset/CWE-22/easy-node-server_1.2.1/src/index.js|0|false|false|37.4774|13.9868|0.937145|20250317090855
server12311|1.2.0|394|CWE-22|secbench-dataset/CWE-22/server12311_1.2.0/src/index.js|0|true|true|25.8324|13.1518|0.847949|20250317090855
mfrserver|1.0.0|395|CWE-22|secbench-dataset/CWE-22/mfrserver_1.0.0/src/index.js|0|true|true|25.4123|13.1115|0.903009|20250317090855
hftp|0.0.6|396|CWE-22|secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js|0|false|false|35.0659|13.0696|0.857621|20250317090855
js|1.0.0|397|CWE-22|secbench-dataset/CWE-22/ltt.js_1.0.0/src/index.js|0|true|true|26.1769|13.4714|0.848933|20250317090855
looppake|3.0.0|398|CWE-22|secbench-dataset/CWE-22/looppake_3.0.0/src/index.js|0|true|true|25.7797|13.1435|0.83621|20250317090855
tinyserver2|0.5.2|399|CWE-22|secbench-dataset/CWE-22/tinyserver2_0.5.2/src/tinyserver.js|0|false|false|34.1305|12.6308|0.779682|20250317090855
wintiwebdev|1.0.0|400|CWE-22|secbench-dataset/CWE-22/wintiwebdev_1.0.0/src/app.js|0|false|false|33.9635|12.7265|0.709073|20250317090855
liuyaserver|1.0.0|401|CWE-22|secbench-dataset/CWE-22/liuyaserver_1.0.0/src/node.js|0|true|true|25.7696|13.4512|0.866755|20250317090855
api-proxy|0.0.2|402|CWE-22|secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js|0|false|false|37.3525|13.9479|0.905603|20250317090855
uekw1511server|1.0.1|403|CWE-22|secbench-dataset/CWE-22/uekw1511server_1.0.1/src/index.js|0|false|false|25.6099|13.0327|0.803045|20250317090855
shenliru3|1.3.0|404|CWE-22|secbench-dataset/CWE-22/shenliru3_1.3.0/src/index.js|0|true|true|25.7433|13.3904|0.865079|20250317090855
caolilinode1|1.0.0|405|CWE-22|secbench-dataset/CWE-22/caolilinode1_1.0.0/src/caolili.js|0|true|true|25.776|13.1768|0.912827|20250317090855
xxf11|1.0.1|406|CWE-22|secbench-dataset/CWE-22/xxf11_1.0.1/src/index.js|0|true|true|25.8455|13.3405|0.800672|20250317090855
myserve111|1.1.2|407|CWE-22|secbench-dataset/CWE-22/myserve111_1.1.2/src/index.js|0|true|true|26.1186|14.0402|0.872899|20250317090855
augustine|0.2.3|408|CWE-22|secbench-dataset/CWE-22/augustine_0.2.3/src/index.js|0|false|false|34.2505|13.0723|0.756455|20250317090855
paopao613|1.0.0|409|CWE-22|secbench-dataset/CWE-22/paopao613_1.0.0/src/index.js|0|true|true|25.9412|13.5583|0.825|20250317090855
wangshuai|1.0.0|410|CWE-22|secbench-dataset/CWE-22/wangshuai_1.0.0/src/index.js|0|true|true|25.8173|13.381|0.846054|20250317090855
peiserver|1.0.0|411|CWE-22|secbench-dataset/CWE-22/peiserver_1.0.0/src/index.js|0|true|true|26.02|13.5467|0.855434|20250317090855
lander|1.0.0|412|CWE-22|secbench-dataset/CWE-22/lander_1.0.0/src/index.js|0|false|false|36.3969|14.198|0.904695|20250317090855
rtcmulticonnection-client|1.0.5|413|CWE-22|secbench-dataset/CWE-22/rtcmulticonnection-client_1.0.5/src/server.js|0|false|false|26.8827|13.8978|0.940074|20250317090855
express-blinker|0.0.6|414|CWE-22|secbench-dataset/CWE-22/express-blinker_0.0.6/src/index.js|0|false|false|39.813|15.0214|1.23356|20250317090855
serverfff|1.1.1|415|CWE-22|secbench-dataset/CWE-22/serverfff_1.1.1/src/index.js|0|true|true|25.8115|13.0957|0.838195|20250317090855
serverliujiayi1|1.1.0|416|CWE-22|secbench-dataset/CWE-22/serverliujiayi1_1.1.0/src/index.js|0|true|true|25.8882|13.0834|0.856602|20250317090855
ussasasa|1.0.0|417|CWE-22|secbench-dataset/CWE-22/ussasasa_1.0.0/src/index.js|0|true|true|25.8784|13.4122|0.886155|20250317090855
fakelearnnodejs|0.0.1|418|CWE-22|secbench-dataset/CWE-22/fakelearnnodejs_0.0.1/src/app.js|0|true|false|25.9103|13.4574|0.867333|20250317090855
mfrs|1.0.0|419|CWE-22|secbench-dataset/CWE-22/mfrs_1.0.0/src/index.js|0|true|true|25.6551|13.1975|0.831147|20250317090855
node-simple-router|0.10.0|420|CWE-22|secbench-dataset/CWE-22/node-simple-router_0.10.0/src/router.js|0|false|false|46.3321|24.2644|0.980305|20250317090855
node-srv|2.0.0|421|CWE-22|secbench-dataset/CWE-22/node-srv_2.0.0/src/server.js|0|true|false|44.44|19.7459|1.78403|20250317090855
gaoxuyan|1.1.0|422|CWE-22|secbench-dataset/CWE-22/gaoxuyan_1.1.0/src/index.js|0|true|false|25.8719|13.234|0.878133|20250317090855
hostr|2.0.0|423|CWE-22|secbench-dataset/CWE-22/hostr_2.0.0/src/static.js|-7|false|false|300.028|275.73|1.31319|20250317090855
shit-server|1.0.0|424|CWE-22|secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js|0|false|false|24.8809|12.7841|0.746921|20250317090855
node-cxc|1.0.0|425|CWE-22|secbench-dataset/CWE-22/node-cxc_1.0.0/src/app.js|0|false|false|34.1264|13.1098|0.730718|20250317090855
datachannel-client|1.0.2|426|CWE-22|secbench-dataset/CWE-22/datachannel-client_1.0.2/src/server.js|0|false|false|26.8731|13.6362|0.953483|20250317090855
zwserver|0.1.1|427|CWE-22|secbench-dataset/CWE-22/zwserver_0.1.1/src/server.js|0|true|false|26.0713|13.9606|0.83925|20250317090855
serverzyy|1.0.0|428|CWE-22|secbench-dataset/CWE-22/serverzyy_1.0.0/src/index.js|0|true|true|25.6507|13.252|0.871442|20250317090855
myprolyz|1.1.0|429|CWE-22|secbench-dataset/CWE-22/myprolyz_1.1.0/src/index.js|0|true|true|25.7439|13.3121|0.831051|20250317090855
tinyserver|0.1.1|430|CWE-22|secbench-dataset/CWE-22/tinyserver_0.1.1/src/main.js|0|false|false|34.6408|12.8612|0.747468|20250317090855
sgqserve|1.0.0|431|CWE-22|secbench-dataset/CWE-22/sgqserve_1.0.0/src/index.js|0|true|true|25.8652|13.4876|0.825509|20250317090855
severzlt|1.0.0|432|CWE-22|secbench-dataset/CWE-22/severzlt_1.0.0/src/index.js|0|true|true|25.9008|13.4579|0.84869|20250317090855
yyooopack|3.0.0|433|CWE-22|secbench-dataset/CWE-22/yyooopack_3.0.0/src/node.js|0|true|true|25.6794|13.4928|0.872353|20250317090855
xbhxbh|1.1.0|434|CWE-22|secbench-dataset/CWE-22/xbhxbh_1.1.0/src/xbh.js|0|true|true|25.6721|13.6993|0.837266|20250317090855
yjmyjmyjm|1.0.0|435|CWE-22|secbench-dataset/CWE-22/yjmyjmyjm_1.0.0/src/index.js|0|true|true|25.7056|13.1935|0.841484|20250317090855
rollup-plugin-server|0.7.0|436|CWE-22|secbench-dataset/CWE-22/rollup-plugin-server_0.7.0/src/index.cjs.js|4|false|false|45.0759|18.4107|0.923712|20250317090855
ptest|1.0.0|437|CWE-22|secbench-dataset/CWE-22/ptest_1.0.0/src/server.js|0|false|false|35.7301|14.3061|0.754894|20250317090855
dcdcdcdcdc|1.0.0|438|CWE-22|secbench-dataset/CWE-22/dcdcdcdcdc_1.0.0/src/node.js|0|true|true|25.9202|13.3055|0.871728|20250317090855
rollup-plugin-serve-favicon|0.4.2|439|CWE-22|secbench-dataset/CWE-22/rollup-plugin-serve-favicon_0.4.2/src/index.cjs.js|4|false|false|43.8031|17.4248|0.97057|20250317090855
rjpserver|1.0.0|440|CWE-22|secbench-dataset/CWE-22/rjpserver_1.0.0/src/index.js|0|true|true|25.8123|13.4317|0.836146|20250317090855
